Subfolder, File Name,Max Diameter uM,Min Diameter uM,Diameter uM,Area,Equivalent Circle Diameter, Ellipse Major, Ellipse Minor, Circularity,Bumpy,Solidity, Meets Criteria 
,T2-3450p0101w1org2-4x.tif,567.799491458,374.1,470.949745729,133169.6025,291.167309343,547.908761785,309.46174963,0.365568337334,0.564805258127,0.864654771373,True
,T2-3450p0101w2org2-4x.tif,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,T2-3450p0101w2org1-4x.tif,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,T2-3450p0101w1org3-4x.tif,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
