Subfolder, File Name,Max Diameter uM,Min Diameter uM,Diameter uM,Area,Equivalent Circle Diameter, Ellipse Major, Ellipse Minor, Circularity,Bumpy,Solidity, Meets Criteria 
,T2-3450p0101w1org2-4x.tif,83.1407627295,47.2059840579,65.1733733937,2418.63890436,39.2396909867,79.1580847168,38.9032492194,0.483486038232,0.491462740143,0.802155504234,True
,T2-3450p0101w2org2-4x.tif,76.1766135372,36.686809037,56.4317112871,1522.67478048,31.1346249719,67.6079933408,28.6760432972,0.371754409639,0.424151670242,0.665989847716,True
,T2-3450p0101w2org1-4x.tif,143.082312379,73.5514912441,108.316901811,6248.53736136,63.0709317564,124.062877408,64.1278441338,0.283989096524,0.516897926868,0.740985411506,True
,T2-3450p0101w1org3-4x.tif,118.581323207,51.7040727398,85.1426979736,3244.96851084,45.4511948656,98.55104442,41.9236777625,0.33103544295,0.425400643993,0.787605633803,True
